cycle,state_name,district,n_democratic_candidates,n_republican_candidates
2000,Louisiana,1,2,1
2002,Louisiana,1,0,3
2004,Louisiana,1,4,2
2006,Louisiana,1,2,1
2010,Louisiana,1,1,1
2012,Louisiana,1,1,2
2014,Louisiana,1,2,1
2016,Louisiana,1,3,1
2018,Louisiana,1,3,1
2020,Louisiana,1,1,1
2022,Louisiana,1,1,1
2024,Louisiana,1,1,3
2002,Louisiana,2,3,1
2004,Louisiana,2,1,1
2006,Louisiana,2,9,3
2010,Louisiana,2,1,1
2012,Louisiana,2,2,2
2014,Louisiana,2,2,0
2016,Louisiana,2,3,0
2018,Louisiana,2,1,0
2020,Louisiana,2,2,2
2022,Louisiana,2,1,1
2024,Louisiana,2,2,3
2000,Louisiana,3,0,1
2002,Louisiana,3,0,1
2004,Louisiana,3,1,1
2006,Louisiana,3,2,1
2010,Louisiana,3,1,1
2012,Louisiana,3,0,2
2014,Louisiana,3,0,2
2016,Louisiana,3,0,2
2018,Louisiana,3,4,2
2020,Louisiana,3,2,1
2022,Louisiana,3,2,4
2024,Louisiana,3,2,2
2000,Louisiana,4,1,1
2002,Louisiana,4,1,1
2006,Louisiana,4,2,2
2010,Louisiana,4,1,1
2012,Louisiana,4,0,1
2014,Louisiana,4,0,1
2016,Louisiana,4,1,1
2018,Louisiana,4,1,1
2020,Louisiana,4,2,2
2022,Louisiana,4,0,1
2024,Louisiana,4,0,2
2000,Louisiana,5,2,1
2002,Louisiana,5,1,1
2004,Louisiana,5,1,2
2006,Louisiana,5,1,1
2010,Louisiana,5,0,1
2012,Louisiana,5,0,1
2014,Louisiana,5,1,1
2016,Louisiana,5,0,1
2018,Louisiana,5,1,1
2020,Louisiana,5,0,2
2022,Louisiana,5,2,3
2024,Louisiana,5,1,2
2000,Louisiana,6,1,1
2002,Louisiana,6,0,1
2004,Louisiana,6,2,1
2006,Louisiana,6,0,1
2010,Louisiana,6,1,1
2012,Louisiana,6,0,1
2014,Louisiana,6,1,1
2016,Louisiana,6,2,2
2018,Louisiana,6,2,1
2020,Louisiana,6,1,1
2022,Louisiana,6,0,2
2024,Louisiana,6,2,1
2000,Louisiana,7,1,0
2002,Louisiana,7,1,0
2004,Louisiana,7,1,1
2006,Louisiana,7,1,1
2010,Louisiana,7,0,1
2006,Texas,15,1,2
2006,Texas,21,2,1
2006,Texas,23,1,1
2006,Texas,25,1,1
2006,Texas,28,1,1