state, age 
Alabama, 33.0 
Alaska, 29.4 
Arizona, 32.2 
Arkansas, 33.8 
California, 31.4 
Colorado, 32.5 
Connecticut, 34.4 
Delaware, 32.8 
District of Columbia, 33.4 
Florida, 36.3 
Georgia, 31.5 
Hawaii, 32.6 
Idaho, 31.5 
Illinois, 32.8 
Indiana, 32.8 
Iowa, 34.0 
Kansas, 32.9 
Kentucky, 33.0 
Louisiana, 31.0 
Maine, 33.9 
Maryland, 33.0 
Massachusetts, 33.5 
Michigan, 32.6 
Minnesota, 32.4 
Mississippi, 31.1 
Missouri, 33.5 
Montana, 33.8 
Nebraska, 33.0 
Nevada, 33.3 
New Hampshire, 32.8 
New Jersey, 34.4 
New Mexico, 31.2 
New York, 33.8 
North Carolina, 33.1 
North Dakota, 32.4 
Ohio, 33.3 
Oklahoma, 33.1 
Oregon, 34.6 
Pennsylvania, 35.0 
Rhode Island, 33.9 
South Carolina, 32.0 
South Dakota, 32.5 
Tennessee, 33.5 
Texas, 30.7 
Utah, 26.3 
Vermont, 33.0 
Virginia, 32.6 
Washington, 33.1 
West Virginia, 35.4 
Wisconsin, 32.9 
Wyoming, 32.1 