state,colplus
Alabama,15.7
Alaska,23
Arizona,20.3
Arkansas,13.3
California,23.4
Colorado,27
Connecticut,27.2
Delaware,21.4
District of Columbia,33.3
Florida,18.3
Georgia,19.3
Hawaii,22.9
Idaho,17.7
Illinois,21
Indiana,15.6
Iowa,16.9
Kansas,21.1
Kentucky,13.6
Louisiana,16.1
Maine,18.8
Maryland,26.5
Massachusetts,27.2
Michigan,17.4
Minnesota,21.8
Mississippi,14.7
Missouri,17.8
Montana,19.8
Nebraska,18.9
Nevada,15.3
New Hampshire,24.4
New Jersey,24.9
New Mexico,20.4
New York,23.1
North Carolina,17.4
North Dakota,18.1
Ohio,17
Oklahoma,17.8
Oregon,20.6
Pennsylvania,17.9
Rhode Island,21.3
South Carolina,16.6
South Dakota,17.2
Tennessee,16
Texas,20.3
Utah,22.3
Vermont,24.3
Virginia,24.5
Washington,22.9
West Virginia,12.3
Wisconsin,17.7
Wyoming,18.8